[dribble_controller_node-10] [INFO] [1786627387.063950591] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.35 rad
[dribble_controller_node-10] [INFO] [1786627388.066648019] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627389.071710913] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627390.078784689] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627391.085681549] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627392.092110364] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627393.099513767] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627394.107459296] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627395.112797983] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627396.120196969] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627397.127191786] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 2.70 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627398.133895144] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.20 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627399.141043754] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.90 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627400.149208534] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.80 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627401.154708930] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627402.162362208] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.10 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627403.168623565] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.80 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627404.175350506] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.10 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627405.182930993] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.70 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627406.190104019] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627407.196134708] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627408.204639156] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627409.210163968] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627410.217247911] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.10 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627411.224578688] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.80 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627412.230704544] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.20 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627413.238364739] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.90 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627414.245327140] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.10 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627415.251674121] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.50 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627416.259576150] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627417.265670256] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.20 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627418.272017988] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.20 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627419.279463640] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.20 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627420.287243710] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.20 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627421.292835981] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627422.300519217] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.80 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627423.306786240] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.10 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627424.313447181] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 0.90 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627425.320633374] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 1.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627426.328382194] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 8.60 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627427.334621634] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 7.40 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627428.341920244] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 6.20 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627429.349018270] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 7.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627430.355247001] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 8.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627431.363243572] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 9.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627432.369539136] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 8.00 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627433.376040993] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 8.30 A | Arm Pos: 0.27 rad
[dribble_controller_node-10] [INFO] [1786627434.382987894] [dribble_controller_node]: [DEBUG Roller Current] Logical ID: 12 | Current: 8.30 A | Arm Pos: 0.27 rad
