epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.838,0.8511,2.50731,1.40614,0.00333,1,0.62773,0.32317,0.73563,3.09558,1.20519,0.000592593,0.000592593,0.000592593
2,37.3309,0.60409,1.97497,1.2756,0.00333,1,0.48011,0.25062,1.15569,3.09397,1.62365,0.00122809,0.00122809,0.00122809
3,58.4012,0.74169,1.68408,1.32786,0.19455,0.12354,0.33297,0.16007,1.93546,3.21587,2.82913,0.00183059,0.00183059,0.00183059
4,79.808,0.9282,2.04809,1.46759,0.61205,0.66667,0.53555,0.19826,1.43261,2.85356,2.40627,0.0018515,0.0018515,0.0018515
5,100.379,0.86615,1.87606,1.44393,0.62418,0.75,0.76702,0.34536,1.13541,2.66929,1.85873,0.001802,0.001802,0.001802
6,116.572,0.93647,1.85789,1.49711,0.53277,0.5,0.55651,0.19865,1.74059,2.88785,2.4882,0.0017525,0.0017525,0.0017525
7,133.954,0.86923,1.65703,1.44424,0.36432,0.83333,0.40406,0.16384,1.80928,2.72678,2.30462,0.001703,0.001703,0.001703
8,152.434,0.83119,1.63301,1.37875,0.58667,0.82825,0.67684,0.28511,1.71292,2.79299,2.21528,0.0016535,0.0016535,0.0016535
9,170.657,0.7636,1.45063,1.30994,0.48099,0.83333,0.71368,0.36061,1.5541,2.90015,2.66229,0.001604,0.001604,0.001604
10,189.068,0.83066,1.36402,1.33905,0.62121,0.58333,0.67494,0.25493,1.9827,3.13544,2.97618,0.0015545,0.0015545,0.0015545
11,204.758,0.91133,1.64405,1.43619,0.66497,0.66201,0.75339,0.32871,1.71664,2.59514,2.4048,0.001505,0.001505,0.001505
12,219.395,0.76769,1.40389,1.34398,0.68215,0.89527,0.8734,0.57553,1.16225,2.0228,1.72365,0.0014555,0.0014555,0.0014555
13,239.575,0.82293,1.48791,1.40068,0.75798,0.83333,0.87999,0.59243,1.19864,1.85406,2.07038,0.001406,0.001406,0.001406
14,257.369,0.76838,1.41951,1.34375,0.7941,0.91667,0.92656,0.43312,1.5824,2.13981,2.64884,0.0013565,0.0013565,0.0013565
15,273.393,0.77271,1.3498,1.33292,0.76856,0.83041,0.8041,0.36819,1.78308,1.97095,2.52868,0.001307,0.001307,0.001307
16,288.837,0.7806,1.34345,1.32095,0.57756,0.79875,0.65009,0.21019,1.68597,2.41367,2.17729,0.0012575,0.0012575,0.0012575
17,305.254,0.693,1.24566,1.2672,0.55769,0.66667,0.64382,0.42336,1.2212,2.08488,1.92937,0.001208,0.001208,0.001208
18,322.075,0.62527,1.32316,1.24598,0.90668,0.81126,0.82084,0.47728,1.26854,1.86725,1.85765,0.0011585,0.0011585,0.0011585
19,340.985,0.66545,1.17837,1.21304,0.82971,0.81341,0.7936,0.45225,1.23985,1.91749,1.9408,0.001109,0.001109,0.001109
20,357.672,0.66053,1.19921,1.25192,0.662,0.83333,0.77865,0.48069,1.2684,2.23111,1.97917,0.0010595,0.0010595,0.0010595
21,375.92,0.74984,1.28907,1.32854,0.79048,0.75,0.79154,0.49096,1.37177,2.18438,2.03297,0.00101,0.00101,0.00101
22,390.636,0.65606,1.13329,1.26874,0.83045,0.83333,0.93293,0.52889,1.42984,2.03736,1.91142,0.0009605,0.0009605,0.0009605
23,406.105,0.75974,1.33801,1.36956,0.82788,0.83333,0.8686,0.44809,1.64608,2.06733,1.99066,0.000911,0.000911,0.000911
24,424.087,0.64793,1.18475,1.23205,0.67159,0.91667,0.83278,0.4728,1.65206,2.13159,2.00985,0.0008615,0.0008615,0.0008615
25,441.726,0.63693,1.11472,1.25061,0.90602,0.80516,0.88232,0.5549,1.38024,1.78166,1.79521,0.000812,0.000812,0.000812
26,460.7,0.67913,1.16183,1.30172,1,0.82916,0.91018,0.54624,1.29992,1.64406,1.82229,0.0007625,0.0007625,0.0007625
27,481.716,0.62478,1.27107,1.28755,0.89574,0.83333,0.9243,0.5395,1.34416,1.58976,1.93074,0.000713,0.000713,0.000713
28,500.395,0.58852,1.12091,1.16606,0.90725,0.8165,0.93141,0.56684,1.30743,1.61275,1.94598,0.0006635,0.0006635,0.0006635
29,520.231,0.66046,1.11483,1.27951,0.83127,0.91667,0.93248,0.54843,1.3753,1.57964,2.02757,0.000614,0.000614,0.000614
30,539.979,0.55944,1.08546,1.18247,0.84524,0.91072,0.87808,0.51998,1.43969,1.63515,2.10898,0.0005645,0.0005645,0.0005645
31,560.289,0.57838,1.91782,1.28229,0.84407,0.91667,0.89148,0.56819,1.29253,1.40204,1.95518,0.000515,0.000515,0.000515
32,582.918,0.65801,1.59158,1.39878,0.91592,0.90843,0.94397,0.61365,1.15846,1.30564,1.87907,0.0004655,0.0004655,0.0004655
33,602.965,0.57773,1.50442,1.2859,0.82439,0.83333,0.85156,0.60654,1.1551,1.38505,1.96212,0.000416,0.000416,0.000416
34,625.43,0.59631,1.40502,1.36152,0.96,0.91667,0.979,0.61625,1.15809,1.36325,1.95895,0.0003665,0.0003665,0.0003665
35,642.112,0.57166,1.50271,1.31235,0.90941,0.91667,0.96483,0.62554,1.213,1.30137,1.9332,0.000317,0.000317,0.000317
36,662.263,0.61101,1.75795,1.33452,0.90762,0.91667,0.95136,0.58108,1.2417,1.3955,1.87977,0.0002675,0.0002675,0.0002675
37,680.533,0.58509,1.51626,1.32005,0.89754,0.91667,0.92571,0.56953,1.24203,1.40807,1.77684,0.000218,0.000218,0.000218
38,698.107,0.52029,1.4592,1.2189,0.7854,0.91667,0.88351,0.55162,1.27559,1.4625,1.72992,0.0001685,0.0001685,0.0001685
39,716.149,0.49975,1.38564,1.16743,0.84576,0.91413,0.88298,0.55834,1.23815,1.45068,1.70908,0.000119,0.000119,0.000119
40,734.386,0.50367,1.34732,1.19116,0.8443,0.91667,0.88662,0.57432,1.17722,1.43244,1.70366,6.95e-05,6.95e-05,6.95e-05
